,text,frequency,Edition
0,sector,254,23
1,government,230,23
2,development,200,23
3,private,165,23
4,business,148,23
5,national,139,23
6,growth,137,23
7,opportunities,129,23
8,session,113,23
9,capital,102,23
10,access,102,23
11,lack,102,23
12,funding,101,23
13,policy,99,23
14,skills,91,23
15,ergp,86,23
16,investment,85,23
17,infrastructure,85,23
18,industry,84,23
19,implementation,82,23
20,summit,77,23
21,œ,77,23
22,capacity,76,23
23,local,75,23
24,discussion,74,23
25,framework,72,23
26,needs,65,23
27,value,64,23
28,trade,64,23
29,develop,64,23
30,create,63,23
31,states,63,23
32,plan,61,23
33,inclusion,61,23
34,support,61,23
35,bank,59,23
36,msmes,58,23
37,dr,58,23
38,limited,57,23
39,technology,57,23
40,federal,57,23
41,state,55,23
42,ensure,55,23
43,bills,52,23
44,issues,51,23
45,productivity,50,23
46,funds,50,23
47,environment,49,23
48,market,49,23
49,ict,49,23
50,key,48,23
51,investments,48,23
52,required,48,23
53,challenges,48,23
54,areas,48,23
55,policies,47,23
56,jobs,47,23
57,action,46,23
58,power,46,23
59,improve,46,23
60,training,46,23
61,stakeholders,45,23
62,country,44,23
63,institutions,43,23
64,education,43,23
65,projects,42,23
66,public,41,23
67,energy,41,23
68,credit,41,23
69,creation,40,23
70,drive,40,23
71,learning,40,23
72,competitiveness,39,23
73,content,39,23
74,process,39,23
75,oil,39,23
76,new,38,23
77,focus,38,23
78,high,38,23
79,research,37,23
80,human,37,23
81,chain,37,23
82,businesses,37,23
83,agriculture,37,23
84,alternative,36,23
85,poor,36,23
86,legislative,35,23
87,assembly,34,23
88,participants,34,23
89,production,34,23
90,scale,34,23
91,ceo,34,23
92,recovery,33,23
93,ease,33,23
94,people,33,23
95,enable,33,23
96,nesg,32,23
97,investors,32,23
98,resources,32,23
99,current,32,23
100,processes,32,23
101,effective,32,23
102,youth,32,23
103,sports,32,23
104,social,31,23
105,programmes,31,23
106,steps,31,23
107,make,31,23
108,review,31,23
109,insurance,31,23
110,leader,31,23
111,group,30,23
112,various,30,23
113,president,30,23
114,act,30,23
115,technical,30,23
116,due,30,23
117,data,30,23
118,10,29,23
119,based,29,23
120,budget,29,23
121,initiatives,29,23
122,etc,29,23
123,set,29,23
124,october,28,23
125,work,28,23
126,right,28,23
127,cost,28,23
128,increase,28,23
129,gas,28,23
130,lending,28,23
131,information,27,23
132,address,27,23
133,governance,27,23
134,world,27,23
135,smes,27,23
136,discussants,27,23
137,use,26,23
138,companies,26,23
139,building,26,23
140,nigerians,26,23
141,years,26,23
142,services,26,23
143,plans,26,23
144,incentives,26,23
145,planning,26,23
146,fund,26,23
147,ministry,26,23
148,housing,26,23
149,system,25,23
150,impact,25,23
151,critical,25,23
152,vocational,25,23
153,quality,25,23
154,products,25,23
155,integration,25,23
156,project,25,23
157,banks,25,23
158,rates,25,23
159,monitoring,25,23
160,maritime,25,23
161,law,24,23
162,#,24,23
163,young,24,23
164,well,24,23
165,strategies,24,23
166,objectives,24,23
167,low,24,23
168,million,24,23
169,foreign,24,23
170,created,24,23
171,many,24,23
172,regulatory,24,23
173,gap,24,23
174,real,24,23
175,existing,24,23
176,communication,24,23
177,commercial,24,23
178,passed,24,23
179,ports,24,23
180,sectors,23,23
181,promote,23,23
182,competitive,23,23
183,population,23,23
184,result,23,23
185,build,23,23
186,global,23,23
187,reduce,23,23
188,collaboration,23,23
189,africa,23,23
190,employment,22,23
191,potential,22,23
192,clear,22,23
193,sustainable,22,23
194,strategy,22,23
